,year,intent,police,sex,age,race
96141,2014,Homicide,0,Female,Under15,Asian/Pacific Islander
98413,2014,Homicide,0,Female,Under15,Asian/Pacific Islander
68183,2014,Homicide,0,Female,Under15,Black
73412,2014,Homicide,0,Female,Under15,Black
77311,2014,Homicide,0,Female,Under15,Black
77312,2014,Homicide,0,Female,Under15,Black
78142,2014,Homicide,0,Female,Under15,Black
78435,2014,Homicide,0,Female,Under15,Black
79989,2014,Homicide,0,Female,Under15,Black
80090,2014,Homicide,0,Female,Under15,Black
80091,2014,Homicide,0,Female,Under15,Black
80555,2014,Homicide,0,Female,Under15,Black
80929,2014,Homicide,0,Female,Under15,Black
81601,2014,Homicide,0,Female,Under15,Black
82217,2014,Homicide,0,Female,Under15,Black
82248,2014,Homicide,0,Female,Under15,Black
82879,2014,Homicide,0,Female,Under15,Black
83073,2014,Homicide,0,Female,Under15,Black
86404,2014,Homicide,0,Female,Under15,Black
87026,2014,Homicide,0,Female,Under15,Black
87654,2014,Homicide,0,Female,Under15,Black
89186,2014,Homicide,0,Female,Under15,Black
89228,2014,Homicide,0,Female,Under15,Black
89456,2014,Homicide,0,Female,Under15,Black
90169,2014,Homicide,0,Female,Under15,Black
91753,2014,Homicide,0,Female,Under15,Black
91796,2014,Homicide,0,Female,Under15,Black
92319,2014,Homicide,0,Female,Under15,Black
92450,2014,Homicide,0,Female,Under15,Black
93135,2014,Homicide,0,Female,Under15,Black
94105,2014,Homicide,0,Female,Under15,Black
98654,2014,Homicide,0,Female,Under15,Black
98655,2014,Homicide,0,Female,Under15,Black
98656,2014,Homicide,0,Female,Under15,Black
99637,2014,Homicide,0,Female,Under15,Black
99930,2014,Homicide,0,Female,Under15,Black
100654,2014,Homicide,0,Female,Under15,Black
67271,2014,Homicide,0,Female,Under15,Hispanic
68274,2014,Homicide,0,Female,Under15,Hispanic
68657,2014,Homicide,0,Female,Under15,Hispanic
68658,2014,Homicide,0,Female,Under15,Hispanic
70424,2014,Homicide,0,Female,Under15,Hispanic
70796,2014,Homicide,0,Female,Under15,Hispanic
71866,2014,Homicide,0,Female,Under15,Hispanic
74557,2014,Homicide,0,Female,Under15,Hispanic
74558,2014,Homicide,0,Female,Under15,Hispanic
74559,2014,Homicide,0,Female,Under15,Hispanic
75203,2014,Homicide,0,Female,Under15,Hispanic
75205,2014,Homicide,0,Female,Under15,Hispanic
76084,2014,Homicide,0,Female,Under15,Hispanic
77071,2014,Homicide,0,Female,Under15,Hispanic
77959,2014,Homicide,0,Female,Under15,Hispanic
82537,2014,Homicide,0,Female,Under15,Hispanic
87554,2014,Homicide,0,Female,Under15,Hispanic
87687,2014,Homicide,0,Female,Under15,Hispanic
88031,2014,Homicide,0,Female,Under15,Hispanic
89286,2014,Homicide,0,Female,Under15,Hispanic
90577,2014,Homicide,0,Female,Under15,Hispanic
90750,2014,Homicide,0,Female,Under15,Hispanic
94453,2014,Homicide,0,Female,Under15,Hispanic
94982,2014,Homicide,0,Female,Under15,Hispanic
94985,2014,Homicide,0,Female,Under15,Hispanic
95156,2014,Homicide,0,Female,Under15,Hispanic
95599,2014,Homicide,0,Female,Under15,Hispanic
95921,2014,Homicide,0,Female,Under15,Hispanic
96770,2014,Homicide,0,Female,Under15,Hispanic
99347,2014,Homicide,0,Female,Under15,Native American/Native Alaskan
68616,2014,Homicide,0,Female,Under15,White
69545,2014,Homicide,0,Female,Under15,White
70097,2014,Homicide,0,Female,Under15,White
70676,2014,Homicide,0,Female,Under15,White
71980,2014,Homicide,0,Female,Under15,White
73658,2014,Homicide,0,Female,Under15,White
74356,2014,Homicide,0,Female,Under15,White
75193,2014,Homicide,0,Female,Under15,White
75379,2014,Homicide,0,Female,Under15,White
76172,2014,Homicide,0,Female,Under15,White
77748,2014,Homicide,0,Female,Under15,White
80666,2014,Homicide,0,Female,Under15,White
80785,2014,Homicide,0,Female,Under15,White
81112,2014,Homicide,0,Female,Under15,White
84031,2014,Homicide,0,Female,Under15,White
84177,2014,Homicide,0,Female,Under15,White
84271,2014,Homicide,0,Female,Under15,White
85527,2014,Homicide,0,Female,Under15,White
87021,2014,Homicide,0,Female,Under15,White
87745,2014,Homicide,0,Female,Under15,White
89884,2014,Homicide,0,Female,Under15,White
90276,2014,Homicide,0,Female,Under15,White
90367,2014,Homicide,0,Female,Under15,White
90898,2014,Homicide,0,Female,Under15,White
91118,2014,Homicide,0,Female,Under15,White
93077,2014,Homicide,0,Female,Under15,White
95195,2014,Homicide,0,Female,Under15,White
96258,2014,Homicide,0,Female,Under15,White
96260,2014,Homicide,0,Female,Under15,White
97493,2014,Homicide,0,Female,Under15,White
97708,2014,Homicide,0,Female,Under15,White
97709,2014,Homicide,0,Female,Under15,White
97715,2014,Homicide,0,Female,Under15,White
98455,2014,Homicide,0,Female,Under15,White
98488,2014,Homicide,0,Female,Under15,White
99338,2014,Homicide,0,Female,Under15,White
99340,2014,Homicide,0,Female,Under15,White
100103,2014,Homicide,0,Female,Under15,White
100427,2014,Homicide,0,Female,Under15,White
71333,2014,Homicide,0,Female,15to34,Asian/Pacific Islander
79966,2014,Homicide,0,Female,15to34,Asian/Pacific Islander
82066,2014,Homicide,0,Female,15to34,Asian/Pacific Islander
83828,2014,Homicide,0,Female,15to34,Asian/Pacific Islander
91441,2014,Homicide,0,Female,15to34,Asian/Pacific Islander
95522,2014,Homicide,0,Female,15to34,Asian/Pacific Islander
67352,2014,Homicide,0,Female,15to34,Black
67415,2014,Homicide,0,Female,15to34,Black
67561,2014,Homicide,0,Female,15to34,Black
67563,2014,Homicide,0,Female,15to34,Black
67637,2014,Homicide,0,Female,15to34,Black
67702,2014,Homicide,0,Female,15to34,Black
67726,2014,Homicide,0,Female,15to34,Black
67753,2014,Homicide,0,Female,15to34,Black
67778,2014,Homicide,0,Female,15to34,Black
67783,2014,Homicide,0,Female,15to34,Black
67806,2014,Homicide,0,Female,15to34,Black
67909,2014,Homicide,0,Female,15to34,Black
67941,2014,Homicide,0,Female,15to34,Black
68091,2014,Homicide,0,Female,15to34,Black
68120,2014,Homicide,0,Female,15to34,Black
68340,2014,Homicide,0,Female,15to34,Black
68439,2014,Homicide,0,Female,15to34,Black
68444,2014,Homicide,0,Female,15to34,Black
68884,2014,Homicide,0,Female,15to34,Black
69448,2014,Homicide,0,Female,15to34,Black
69567,2014,Homicide,0,Female,15to34,Black
69700,2014,Homicide,0,Female,15to34,Black
69973,2014,Homicide,0,Female,15to34,Black
70191,2014,Homicide,0,Female,15to34,Black
70194,2014,Homicide,0,Female,15to34,Black
70267,2014,Homicide,0,Female,15to34,Black
70389,2014,Homicide,0,Female,15to34,Black
70572,2014,Homicide,0,Female,15to34,Black
70584,2014,Homicide,0,Female,15to34,Black
70891,2014,Homicide,0,Female,15to34,Black
70958,2014,Homicide,0,Female,15to34,Black
71091,2014,Homicide,0,Female,15to34,Black
71113,2014,Homicide,0,Female,15to34,Black
71127,2014,Homicide,0,Female,15to34,Black
71345,2014,Homicide,0,Female,15to34,Black
71568,2014,Homicide,0,Female,15to34,Black
71849,2014,Homicide,0,Female,15to34,Black
71902,2014,Homicide,0,Female,15to34,Black
71933,2014,Homicide,0,Female,15to34,Black
72026,2014,Homicide,0,Female,15to34,Black
72027,2014,Homicide,0,Female,15to34,Black
72130,2014,Homicide,0,Female,15to34,Black
72339,2014,Homicide,0,Female,15to34,Black
72545,2014,Homicide,0,Female,15to34,Black
73362,2014,Homicide,0,Female,15to34,Black
73367,2014,Homicide,0,Female,15to34,Black
73416,2014,Homicide,0,Female,15to34,Black
73431,2014,Homicide,0,Female,15to34,Black
73606,2014,Homicide,0,Female,15to34,Black
73711,2014,Homicide,0,Female,15to34,Black
74000,2014,Homicide,0,Female,15to34,Black
74069,2014,Homicide,0,Female,15to34,Black
74076,2014,Homicide,0,Female,15to34,Black
74083,2014,Homicide,0,Female,15to34,Black
74114,2014,Homicide,0,Female,15to34,Black
74128,2014,Homicide,0,Female,15to34,Black
74155,2014,Homicide,0,Female,15to34,Black
74349,2014,Homicide,0,Female,15to34,Black
74571,2014,Homicide,0,Female,15to34,Black
74677,2014,Homicide,0,Female,15to34,Black
74701,2014,Homicide,0,Female,15to34,Black
74712,2014,Homicide,0,Female,15to34,Black
74884,2014,Homicide,0,Female,15to34,Black
75095,2014,Homicide,0,Female,15to34,Black
75474,2014,Homicide,0,Female,15to34,Black
75703,2014,Homicide,0,Female,15to34,Black
75866,2014,Homicide,0,Female,15to34,Black
75950,2014,Homicide,0,Female,15to34,Black
76022,2014,Homicide,0,Female,15to34,Black
76283,2014,Homicide,0,Female,15to34,Black
76307,2014,Homicide,0,Female,15to34,Black
76346,2014,Homicide,0,Female,15to34,Black
76475,2014,Homicide,0,Female,15to34,Black
76478,2014,Homicide,0,Female,15to34,Black
76490,2014,Homicide,0,Female,15to34,Black
76556,2014,Homicide,0,Female,15to34,Black
76606,2014,Homicide,0,Female,15to34,Black
76749,2014,Homicide,0,Female,15to34,Black
76781,2014,Homicide,0,Female,15to34,Black
76785,2014,Homicide,0,Female,15to34,Black
76873,2014,Homicide,0,Female,15to34,Black
76884,2014,Homicide,0,Female,15to34,Black
76928,2014,Homicide,0,Female,15to34,Black
76938,2014,Homicide,0,Female,15to34,Black
76966,2014,Homicide,0,Female,15to34,Black
77099,2014,Homicide,0,Female,15to34,Black
77124,2014,Homicide,0,Female,15to34,Black
77142,2014,Homicide,0,Female,15to34,Black
77150,2014,Homicide,0,Female,15to34,Black
77172,2014,Homicide,0,Female,15to34,Black
77220,2014,Homicide,0,Female,15to34,Black
77267,2014,Homicide,0,Female,15to34,Black
77279,2014,Homicide,0,Female,15to34,Black
77331,2014,Homicide,0,Female,15to34,Black
77459,2014,Homicide,0,Female,15to34,Black
77872,2014,Homicide,0,Female,15to34,Black
77940,2014,Homicide,0,Female,15to34,Black
78098,2014,Homicide,0,Female,15to34,Black
78132,2014,Homicide,0,Female,15to34,Black
78143,2014,Homicide,0,Female,15to34,Black
78180,2014,Homicide,0,Female,15to34,Black
78281,2014,Homicide,0,Female,15to34,Black
78293,2014,Homicide,0,Female,15to34,Black
78295,2014,Homicide,0,Female,15to34,Black
78335,2014,Homicide,0,Female,15to34,Black
78397,2014,Homicide,0,Female,15to34,Black
78413,2014,Homicide,0,Female,15to34,Black
78417,2014,Homicide,0,Female,15to34,Black
78520,2014,Homicide,0,Female,15to34,Black
78556,2014,Homicide,0,Female,15to34,Black
78775,2014,Homicide,0,Female,15to34,Black
78855,2014,Homicide,0,Female,15to34,Black
78895,2014,Homicide,0,Female,15to34,Black
78957,2014,Homicide,0,Female,15to34,Black
78996,2014,Homicide,0,Female,15to34,Black
79099,2014,Homicide,0,Female,15to34,Black
79148,2014,Homicide,0,Female,15to34,Black
79230,2014,Homicide,0,Female,15to34,Black
79401,2014,Homicide,0,Female,15to34,Black
79545,2014,Homicide,0,Female,15to34,Black
79610,2014,Homicide,0,Female,15to34,Black
79714,2014,Homicide,0,Female,15to34,Black
79720,2014,Homicide,0,Female,15to34,Black
79804,2014,Homicide,0,Female,15to34,Black
79868,2014,Homicide,0,Female,15to34,Black
79919,2014,Homicide,0,Female,15to34,Black
79936,2014,Homicide,0,Female,15to34,Black
80124,2014,Homicide,0,Female,15to34,Black
80264,2014,Homicide,0,Female,15to34,Black
80369,2014,Homicide,0,Female,15to34,Black
80387,2014,Homicide,0,Female,15to34,Black
80445,2014,Homicide,0,Female,15to34,Black
80697,2014,Homicide,0,Female,15to34,Black
80782,2014,Homicide,0,Female,15to34,Black
80890,2014,Homicide,0,Female,15to34,Black
80905,2014,Homicide,0,Female,15to34,Black
80912,2014,Homicide,0,Female,15to34,Black
80958,2014,Homicide,0,Female,15to34,Black
80967,2014,Homicide,0,Female,15to34,Black
80985,2014,Homicide,0,Female,15to34,Black
81077,2014,Homicide,0,Female,15to34,Black
81085,2014,Homicide,0,Female,15to34,Black
81130,2014,Homicide,0,Female,15to34,Black
81208,2014,Homicide,0,Female,15to34,Black
81225,2014,Homicide,0,Female,15to34,Black
81230,2014,Homicide,0,Female,15to34,Black
81304,2014,Homicide,0,Female,15to34,Black
81310,2014,Homicide,0,Female,15to34,Black
81320,2014,Homicide,0,Female,15to34,Black
81321,2014,Homicide,0,Female,15to34,Black
81341,2014,Homicide,0,Female,15to34,Black
81342,2014,Homicide,0,Female,15to34,Black
81348,2014,Homicide,0,Female,15to34,Black
81358,2014,Homicide,0,Female,15to34,Black
81413,2014,Homicide,0,Female,15to34,Black
81503,2014,Homicide,0,Female,15to34,Black
81532,2014,Homicide,0,Female,15to34,Black
81572,2014,Homicide,0,Female,15to34,Black
81643,2014,Homicide,0,Female,15to34,Black
81644,2014,Homicide,0,Female,15to34,Black
81663,2014,Homicide,0,Female,15to34,Black
81694,2014,Homicide,0,Female,15to34,Black
81722,2014,Homicide,0,Female,15to34,Black
81803,2014,Homicide,0,Female,15to34,Black
81949,2014,Homicide,0,Female,15to34,Black
81987,2014,Homicide,0,Female,15to34,Black
82034,2014,Homicide,0,Female,15to34,Black
82038,2014,Homicide,0,Female,15to34,Black
82046,2014,Homicide,0,Female,15to34,Black
82131,2014,Homicide,0,Female,15to34,Black
82200,2014,Homicide,0,Female,15to34,Black
82201,2014,Homicide,0,Female,15to34,Black
82342,2014,Homicide,0,Female,15to34,Black
82351,2014,Homicide,0,Female,15to34,Black
82435,2014,Homicide,0,Female,15to34,Black
82447,2014,Homicide,0,Female,15to34,Black
82603,2014,Homicide,0,Female,15to34,Black
82671,2014,Homicide,0,Female,15to34,Black
82703,2014,Homicide,0,Female,15to34,Black
82713,2014,Homicide,0,Female,15to34,Black
82716,2014,Homicide,0,Female,15to34,Black
82736,2014,Homicide,0,Female,15to34,Black
82748,2014,Homicide,0,Female,15to34,Black
82768,2014,Homicide,0,Female,15to34,Black
82854,2014,Homicide,0,Female,15to34,Black
82855,2014,Homicide,0,Female,15to34,Black
82860,2014,Homicide,0,Female,15to34,Black
82911,2014,Homicide,0,Female,15to34,Black
82917,2014,Homicide,0,Female,15to34,Black
82965,2014,Homicide,0,Female,15to34,Black
82966,2014,Homicide,0,Female,15to34,Black
82970,2014,Homicide,0,Female,15to34,Black
82979,2014,Homicide,0,Female,15to34,Black
82988,2014,Homicide,0,Female,15to34,Black
83025,2014,Homicide,0,Female,15to34,Black
83035,2014,Homicide,0,Female,15to34,Black
83080,2014,Homicide,0,Female,15to34,Black
83113,2014,Homicide,0,Female,15to34,Black
83162,2014,Homicide,0,Female,15to34,Black
83163,2014,Homicide,0,Female,15to34,Black
83166,2014,Homicide,0,Female,15to34,Black
83802,2014,Homicide,0,Female,15to34,Black
83880,2014,Homicide,0,Female,15to34,Black
83904,2014,Homicide,0,Female,15to34,Black
83991,2014,Homicide,0,Female,15to34,Black
84644,2014,Homicide,0,Female,15to34,Black
84746,2014,Homicide,0,Female,15to34,Black
84749,2014,Homicide,0,Female,15to34,Black
84760,2014,Homicide,0,Female,15to34,Black
84791,2014,Homicide,0,Female,15to34,Black
84799,2014,Homicide,0,Female,15to34,Black
84808,2014,Homicide,0,Female,15to34,Black
84878,2014,Homicide,0,Female,15to34,Black
84882,2014,Homicide,0,Female,15to34,Black
84893,2014,Homicide,0,Female,15to34,Black
84915,2014,Homicide,0,Female,15to34,Black
84956,2014,Homicide,0,Female,15to34,Black
85008,2014,Homicide,0,Female,15to34,Black
85048,2014,Homicide,0,Female,15to34,Black
85120,2014,Homicide,0,Female,15to34,Black
85180,2014,Homicide,0,Female,15to34,Black
85304,2014,Homicide,0,Female,15to34,Black
85305,2014,Homicide,0,Female,15to34,Black
85325,2014,Homicide,0,Female,15to34,Black
85333,2014,Homicide,0,Female,15to34,Black
85334,2014,Homicide,0,Female,15to34,Black
85410,2014,Homicide,0,Female,15to34,Black
85512,2014,Homicide,0,Female,15to34,Black
85533,2014,Homicide,0,Female,15to34,Black
86019,2014,Homicide,0,Female,15to34,Black
86085,2014,Homicide,0,Female,15to34,Black
86113,2014,Homicide,0,Female,15to34,Black
86217,2014,Homicide,0,Female,15to34,Black
86428,2014,Homicide,0,Female,15to34,Black
86531,2014,Homicide,0,Female,15to34,Black
86637,2014,Homicide,0,Female,15to34,Black
86737,2014,Homicide,0,Female,15to34,Black
86789,2014,Homicide,0,Female,15to34,Black
87134,2014,Homicide,0,Female,15to34,Black
87352,2014,Homicide,0,Female,15to34,Black
87506,2014,Homicide,0,Female,15to34,Black
87549,2014,Homicide,0,Female,15to34,Black
87605,2014,Homicide,0,Female,15to34,Black
87704,2014,Homicide,0,Female,15to34,Black
88107,2014,Homicide,0,Female,15to34,Black
88400,2014,Homicide,0,Female,15to34,Black
88502,2014,Homicide,0,Female,15to34,Black
88584,2014,Homicide,0,Female,15to34,Black
88654,2014,Homicide,0,Female,15to34,Black
88655,2014,Homicide,0,Female,15to34,Black
88866,2014,Homicide,0,Female,15to34,Black
89017,2014,Homicide,0,Female,15to34,Black
89104,2014,Homicide,0,Female,15to34,Black
89156,2014,Homicide,0,Female,15to34,Black
89180,2014,Homicide,0,Female,15to34,Black
89319,2014,Homicide,0,Female,15to34,Black
89478,2014,Homicide,0,Female,15to34,Black
89550,2014,Homicide,0,Female,15to34,Black
89740,2014,Homicide,0,Female,15to34,Black
89847,2014,Homicide,0,Female,15to34,Black
90029,2014,Homicide,0,Female,15to34,Black
90031,2014,Homicide,0,Female,15to34,Black
90182,2014,Homicide,0,Female,15to34,Black
90250,2014,Homicide,0,Female,15to34,Black
90310,2014,Homicide,0,Female,15to34,Black
90365,2014,Homicide,0,Female,15to34,Black
90373,2014,Homicide,0,Female,15to34,Black
90490,2014,Homicide,0,Female,15to34,Black
90730,2014,Homicide,0,Female,15to34,Black
91277,2014,Homicide,0,Female,15to34,Black
91553,2014,Homicide,0,Female,15to34,Black
91584,2014,Homicide,0,Female,15to34,Black
91689,2014,Homicide,0,Female,15to34,Black
91841,2014,Homicide,0,Female,15to34,Black
92386,2014,Homicide,0,Female,15to34,Black
92499,2014,Homicide,0,Female,15to34,Black
92503,2014,Homicide,0,Female,15to34,Black
92616,2014,Homicide,0,Female,15to34,Black
92654,2014,Homicide,0,Female,15to34,Black
92694,2014,Homicide,0,Female,15to34,Black
92806,2014,Homicide,0,Female,15to34,Black
92941,2014,Homicide,0,Female,15to34,Black
92981,2014,Homicide,0,Female,15to34,Black
93026,2014,Homicide,0,Female,15to34,Black
93090,2014,Homicide,0,Female,15to34,Black
93208,2014,Homicide,0,Female,15to34,Black
93243,2014,Homicide,0,Female,15to34,Black
93248,2014,Homicide,0,Female,15to34,Black
93262,2014,Homicide,0,Female,15to34,Black
93344,2014,Homicide,0,Female,15to34,Black
93428,2014,Homicide,0,Female,15to34,Black
93502,2014,Homicide,0,Female,15to34,Black
93506,2014,Homicide,0,Female,15to34,Black
93516,2014,Homicide,0,Female,15to34,Black
93571,2014,Homicide,0,Female,15to34,Black
93589,2014,Homicide,0,Female,15to34,Black
93637,2014,Homicide,0,Female,15to34,Black
93682,2014,Homicide,0,Female,15to34,Black
93899,2014,Homicide,0,Female,15to34,Black
93903,2014,Homicide,0,Female,15to34,Black
93934,2014,Homicide,0,Female,15to34,Black
93935,2014,Homicide,0,Female,15to34,Black
94106,2014,Homicide,0,Female,15to34,Black
94153,2014,Homicide,0,Female,15to34,Black
94449,2014,Homicide,0,Female,15to34,Black
94474,2014,Homicide,0,Female,15to34,Black
94492,2014,Homicide,0,Female,15to34,Black
94510,2014,Homicide,0,Female,15to34,Black
94550,2014,Homicide,0,Female,15to34,Black
94583,2014,Homicide,0,Female,15to34,Black
94782,2014,Homicide,0,Female,15to34,Black
95075,2014,Homicide,0,Female,15to34,Black
95308,2014,Homicide,0,Female,15to34,Black
95341,2014,Homicide,0,Female,15to34,Black
95399,2014,Homicide,0,Female,15to34,Black
95477,2014,Homicide,0,Female,15to34,Black
95716,2014,Homicide,0,Female,15to34,Black
95790,2014,Homicide,0,Female,15to34,Black
95855,2014,Homicide,0,Female,15to34,Black
95981,2014,Homicide,0,Female,15to34,Black
96055,2014,Homicide,0,Female,15to34,Black
96099,2014,Homicide,0,Female,15to34,Black
96220,2014,Homicide,0,Female,15to34,Black
96357,2014,Homicide,0,Female,15to34,Black
96376,2014,Homicide,0,Female,15to34,Black
96501,2014,Homicide,0,Female,15to34,Black
96550,2014,Homicide,0,Female,15to34,Black
96785,2014,Homicide,0,Female,15to34,Black
96950,2014,Homicide,0,Female,15to34,Black
97370,2014,Homicide,0,Female,15to34,Black
97420,2014,Homicide,0,Female,15to34,Black
97433,2014,Homicide,0,Female,15to34,Black
97597,2014,Homicide,0,Female,15to34,Black
97652,2014,Homicide,0,Female,15to34,Black
98096,2014,Homicide,0,Female,15to34,Black
98182,2014,Homicide,0,Female,15to34,Black
98296,2014,Homicide,0,Female,15to34,Black
98327,2014,Homicide,0,Female,15to34,Black
98485,2014,Homicide,0,Female,15to34,Black
98632,2014,Homicide,0,Female,15to34,Black
98633,2014,Homicide,0,Female,15to34,Black
98735,2014,Homicide,0,Female,15to34,Black
98747,2014,Homicide,0,Female,15to34,Black
98815,2014,Homicide,0,Female,15to34,Black
98841,2014,Homicide,0,Female,15to34,Black
98843,2014,Homicide,0,Female,15to34,Black
98874,2014,Homicide,0,Female,15to34,Black
99364,2014,Homicide,0,Female,15to34,Black
99454,2014,Homicide,0,Female,15to34,Black
99790,2014,Homicide,0,Female,15to34,Black
99917,2014,Homicide,0,Female,15to34,Black
100037,2014,Homicide,0,Female,15to34,Black
100142,2014,Homicide,0,Female,15to34,Black
100148,2014,Homicide,0,Female,15to34,Black
100152,2014,Homicide,0,Female,15to34,Black
100202,2014,Homicide,0,Female,15to34,Black
100570,2014,Homicide,0,Female,15to34,Black
100663,2014,Homicide,0,Female,15to34,Black
100672,2014,Homicide,0,Female,15to34,Black
100752,2014,Homicide,0,Female,15to34,Black
100768,2014,Homicide,0,Female,15to34,Black
100772,2014,Homicide,0,Female,15to34,Black
68253,2014,Homicide,0,Female,15to34,Hispanic
68270,2014,Homicide,0,Female,15to34,Hispanic
68900,2014,Homicide,0,Female,15to34,Hispanic
68997,2014,Homicide,0,Female,15to34,Hispanic
69082,2014,Homicide,0,Female,15to34,Hispanic
69166,2014,Homicide,0,Female,15to34,Hispanic
69330,2014,Homicide,0,Female,15to34,Hispanic
69419,2014,Homicide,0,Female,15to34,Hispanic
69497,2014,Homicide,0,Female,15to34,Hispanic
69537,2014,Homicide,0,Female,15to34,Hispanic
69550,2014,Homicide,0,Female,15to34,Hispanic
69672,2014,Homicide,0,Female,15to34,Hispanic
69908,2014,Homicide,0,Female,15to34,Hispanic
69928,2014,Homicide,0,Female,15to34,Hispanic
70019,2014,Homicide,0,Female,15to34,Hispanic
70186,2014,Homicide,0,Female,15to34,Hispanic
70512,2014,Homicide,0,Female,15to34,Hispanic
70588,2014,Homicide,0,Female,15to34,Hispanic
70601,2014,Homicide,0,Female,15to34,Hispanic
70606,2014,Homicide,0,Female,15to34,Hispanic
70650,2014,Homicide,0,Female,15to34,Hispanic
70783,2014,Homicide,1,Female,15to34,Hispanic
70800,2014,Homicide,0,Female,15to34,Hispanic
70825,2014,Homicide,0,Female,15to34,Hispanic
70841,2014,Homicide,0,Female,15to34,Hispanic
71192,2014,Homicide,0,Female,15to34,Hispanic
71272,2014,Homicide,0,Female,15to34,Hispanic
71605,2014,Homicide,0,Female,15to34,Hispanic
71662,2014,Homicide,0,Female,15to34,Hispanic
71761,2014,Homicide,0,Female,15to34,Hispanic
71842,2014,Homicide,0,Female,15to34,Hispanic
71843,2014,Homicide,0,Female,15to34,Hispanic
71966,2014,Homicide,0,Female,15to34,Hispanic
72060,2014,Homicide,0,Female,15to34,Hispanic
72161,2014,Homicide,0,Female,15to34,Hispanic
72314,2014,Homicide,0,Female,15to34,Hispanic
72505,2014,Homicide,1,Female,15to34,Hispanic
72584,2014,Homicide,0,Female,15to34,Hispanic
72968,2014,Homicide,0,Female,15to34,Hispanic
73269,2014,Homicide,0,Female,15to34,Hispanic
73437,2014,Homicide,0,Female,15to34,Hispanic
73564,2014,Homicide,0,Female,15to34,Hispanic
73818,2014,Homicide,0,Female,15to34,Hispanic
73854,2014,Homicide,0,Female,15to34,Hispanic
73900,2014,Homicide,0,Female,15to34,Hispanic
74007,2014,Homicide,0,Female,15to34,Hispanic
74126,2014,Homicide,0,Female,15to34,Hispanic
74140,2014,Homicide,0,Female,15to34,Hispanic
74302,2014,Homicide,0,Female,15to34,Hispanic
74328,2014,Homicide,0,Female,15to34,Hispanic
74380,2014,Homicide,0,Female,15to34,Hispanic
74556,2014,Homicide,0,Female,15to34,Hispanic
74810,2014,Homicide,0,Female,15to34,Hispanic
75034,2014,Homicide,0,Female,15to34,Hispanic
75226,2014,Homicide,0,Female,15to34,Hispanic
75327,2014,Homicide,0,Female,15to34,Hispanic
76886,2014,Homicide,0,Female,15to34,Hispanic
78145,2014,Homicide,0,Female,15to34,Hispanic
78545,2014,Homicide,0,Female,15to34,Hispanic
78715,2014,Homicide,0,Female,15to34,Hispanic
78841,2014,Homicide,0,Female,15to34,Hispanic
79139,2014,Homicide,0,Female,15to34,Hispanic
80553,2014,Homicide,0,Female,15to34,Hispanic
81744,2014,Homicide,0,Female,15to34,Hispanic
81939,2014,Homicide,0,Female,15to34,Hispanic
84010,2014,Homicide,0,Female,15to34,Hispanic
84053,2014,Homicide,0,Female,15to34,Hispanic
85950,2014,Homicide,0,Female,15to34,Hispanic
85961,2014,Homicide,0,Female,15to34,Hispanic
86917,2014,Homicide,0,Female,15to34,Hispanic
87641,2014,Homicide,0,Female,15to34,Hispanic
87710,2014,Homicide,0,Female,15to34,Hispanic
87718,2014,Homicide,0,Female,15to34,Hispanic
87846,2014,Homicide,0,Female,15to34,Hispanic
87863,2014,Homicide,0,Female,15to34,Hispanic
87969,2014,Homicide,0,Female,15to34,Hispanic
88355,2014,Homicide,0,Female,15to34,Hispanic
88419,2014,Homicide,0,Female,15to34,Hispanic
88510,2014,Homicide,0,Female,15to34,Hispanic
88952,2014,Homicide,0,Female,15to34,Hispanic
89009,2014,Homicide,0,Female,15to34,Hispanic
89144,2014,Homicide,0,Female,15to34,Hispanic
89617,2014,Homicide,0,Female,15to34,Hispanic
90409,2014,Homicide,0,Female,15to34,Hispanic
90412,2014,Homicide,0,Female,15to34,Hispanic
90530,2014,Homicide,0,Female,15to34,Hispanic
90752,2014,Homicide,0,Female,15to34,Hispanic
90766,2014,Homicide,0,Female,15to34,Hispanic
90823,2014,Homicide,0,Female,15to34,Hispanic
91453,2014,Homicide,0,Female,15to34,Hispanic
91703,2014,Homicide,0,Female,15to34,Hispanic
93107,2014,Homicide,0,Female,15to34,Hispanic
94863,2014,Homicide,0,Female,15to34,Hispanic
95056,2014,Homicide,0,Female,15to34,Hispanic
95057,2014,Homicide,0,Female,15to34,Hispanic
95072,2014,Homicide,0,Female,15to34,Hispanic
95193,2014,Homicide,0,Female,15to34,Hispanic
95252,2014,Homicide,0,Female,15to34,Hispanic
95287,2014,Homicide,0,Female,15to34,Hispanic
95359,2014,Homicide,0,Female,15to34,Hispanic
95524,2014,Homicide,0,Female,15to34,Hispanic
95598,2014,Homicide,0,Female,15to34,Hispanic
95668,2014,Homicide,0,Female,15to34,Hispanic
95863,2014,Homicide,0,Female,15to34,Hispanic
95891,2014,Homicide,0,Female,15to34,Hispanic
95919,2014,Homicide,0,Female,15to34,Hispanic
95964,2014,Homicide,0,Female,15to34,Hispanic
96032,2014,Homicide,0,Female,15to34,Hispanic
96145,2014,Homicide,0,Female,15to34,Hispanic
96609,2014,Homicide,0,Female,15to34,Hispanic
96678,2014,Homicide,0,Female,15to34,Hispanic
96689,2014,Homicide,0,Female,15to34,Hispanic
96850,2014,Homicide,0,Female,15to34,Hispanic
