state	county or district name	County vs district (or other)	data source (vaccine registry or reported by schools - REG or SCH)	# kindergarten students in county	# schools in county	# schools reporting	% schools reporting	% 2 dose MMR - all schools	% 2-dose MMR - public school	% 2-dose MMR - private schools	"% fully vaccinated (all vaccines), all schools"	% fully vaccinated - public schools	% fully vaccinated - private schools	% 1 dose MMR - all schools
Kentucky	Taylor	county	SCH	327				0.95						
Kentucky	Todd	county	SCH	149				0.72						
Kentucky	Trigg	county	SCH	142				0.92						
Kentucky	Trimble	county	SCH	124				0.85						
Kentucky	Union	county	SCH	184				0.99						
Kentucky	Warren	county	SCH	1361				0.95						
Kentucky	Washington	county	SCH	179				0.93						
Kentucky	Wayne	county	SCH	234				0.99						
Kentucky	Webster	county	SCH	184				0.87						
Kentucky	Whitley	county	SCH	569				0.95						
Kentucky	Wolfe	county	SCH	97				0.92						
Kentucky	Woodford	county	SCH	321				0.95						
Louisiana	ACADIA	county	SCH/REG									0.96	0.91	
Louisiana	ALLEN	county	SCH/REG									0.98	NA	
Louisiana	ASCENSION	county	SCH/REG									0.99	0.97	
Louisiana	ASSUMPTION	county	SCH/REG									0.99	1	
Louisiana	AVOYELLES	county	SCH/REG									0.99	0.96	
Louisiana	BEAUREGARD	county	SCH/REG									0.97	NA	
Louisiana	BIENVILLE	county	SCH/REG									0.94	NA	
Louisiana	BOSSIER	county	SCH/REG									0.98	NA	
Louisiana	CADDO	county	SCH/REG									0.97	0.98	
Louisiana	CALCASIEU	county	SCH/REG									0.99	0.9	
Louisiana	CALDWELL	county	SCH/REG									0.99	1	
Louisiana	CAMERON	county	SCH/REG									0.98	NA	
Louisiana	CATAHOULA	county	SCH/REG									0.98	NA	
Louisiana	CLAIBORNE	county	SCH/REG									0.99	0.88	
Louisiana	CONCORDIA	county	SCH/REG									0.98	NA	
Louisiana	DE SOTO	county	SCH/REG									1	0.67	
Louisiana	EAST BATON ROUG	county	SCH/REG									0.93	0.93	
Louisiana	EAST CARROLL	county	SCH/REG									1	0.88	
Louisiana	EAST FELICIANA	county	SCH/REG									0.98	0.82	
Louisiana	EVANGELINE	county	SCH/REG									0.96	1	
Louisiana	FRANKLIN	county	SCH/REG									0.98	0.72	
Louisiana	GRANT	county	SCH/REG									1	NA	
Louisiana	IBERIA	county	SCH/REG									0.98	0.93	
Louisiana	IBERVILLE	county	SCH/REG									0.98	0.97	
Louisiana	JACKSON	county	SCH/REG									0.93	NA	
Louisiana	JEFFERSON	county	SCH/REG									0.98	0.9	
Louisiana	JEFFERSON DAVIS	county	SCH/REG									0.95	1	
Louisiana	LA SALLE	county	SCH/REG									0.98	NA	
Louisiana	LAFAYETTE	county	SCH/REG									0.95	0.86	
Louisiana	LAFOURCHE	county	SCH/REG									0.98	0.94	
Louisiana	LINCOLN	county	SCH/REG									0.98	0.97	
Louisiana	LIVINGSTON	county	SCH/REG									0.96	0.89	
Louisiana	MADISON	county	SCH/REG									0.92	0.82	
Louisiana	MOREHOUSE	county	SCH/REG									0.97	0.9	
Louisiana	NATCHITOCHES	county	SCH/REG									0.97	1	
Louisiana	ORLEANS	county	SCH/REG									0.96	0.91	
Louisiana	OUACHITA	county	SCH/REG									0.92	0.92	
Louisiana	PLAQUEMINES	county	SCH/REG									0.96	0.94	
Louisiana	POINTE COUPEE	county	SCH/REG									0.98	0.99	
Louisiana	RAPIDES	county	SCH/REG									0.97	0.87	
Louisiana	RED RIVER	county	SCH/REG									0.99	0.92	
Louisiana	RICHLAND	county	SCH/REG									0.99	0.85	
Louisiana	SABINE	county	SCH/REG									0.98	NA	
Louisiana	ST. BERNARD	county	SCH/REG									0.97	0.98	
Louisiana	ST. CHARLES	county	SCH/REG									0.99	0.96	
Louisiana	ST. HELENA	county	SCH/REG									0.97	NA	
Louisiana	ST. JAMES	county	SCH/REG									0.99	1	
Louisiana	ST. JOHN THE BAPTI	county	SCH/REG									0.99	0.99	
Louisiana	ST. LANDRY	county	SCH/REG									0.95	0.91	
Louisiana	ST. MARTIN	county	SCH/REG									0.96	0.97	
Louisiana	ST. MARY	county	SCH/REG									0.98	0.89	
Louisiana	ST. TAMMANY	county	SCH/REG									0.94	0.87	
Louisiana	TANGIPAHOA	county	SCH/REG									0.96	0.97	
Louisiana	TENSAS	county	SCH/REG									0.98	1	
Louisiana	TERREBONNE	county	SCH/REG									0.97	0.95	
Louisiana	UNION	county	SCH/REG									0.96	0.91	
Louisiana	VERMILION	county	SCH/REG									0.98	0.9	
Louisiana	VERNON	county	SCH/REG									0.97	0.92	
Louisiana	WASHINGTON	county	SCH/REG									0.96	0.91	
Louisiana	WEBSTER	county	SCH/REG									0.98	0.94	
Louisiana	WEST BATON ROU	county	SCH/REG									0.95	NA	
Louisiana	WEST CARROLL	county	SCH/REG									0.93	NA	
Louisiana	WEST FELICIANA	county	SCH/REG									0.99	NA	
Louisiana	WINN	county	SCH/REG									0.98	NA	
Maine	Androscoggin	county	SCH		31	22	0.71	0.90						
Maine	Aroostook	county	SCH		29	20	0.69	0.94						
Maine	Cumberland	county	SCH		64	43	0.67	0.87						
Maine	Franklin	county	SCH		10	8	0.8	0.93						
Maine	Hancock	county	SCH		23	21	0.91	0.85						
Maine	Kennebec	county	SCH		38	28	0.74	0.90						
Maine	Knox	county	SCH		17	14	0.82	0.91						
Maine	Lincoln	county	SCH		14	11	0.79	0.84						
Maine	Oxford	county	SCH		19	13	0.68	0.94						
Maine	Penobscot	county	SCH		52	36	0.69	0.95						
Maine	Piscataquis	county	SCH		8	5	0.63	0.88						
Maine	Sagadahoc	county	SCH		11	8	0.73	0.89						
Maine	Somerset	county	SCH		25	16	0.64	0.94						
Maine	Waldo	county	SCH		18	14	0.78	0.90						
Maine	Washington	county	SCH		27	24	0.89	0.94						
Maine	York	county	SCH		42	28	0.67	0.96						
Maryland	Allegany	county	SCH	718				0.98						
Maryland	Anne Arundel	county	SCH	"6,422"				0.99						
Maryland	Baltimore City	county	SCH	"7,928"				0.99						
Maryland	Baltimore County	county	SCH	"9,336"				1.00						
Maryland	Calvert	county	SCH	"1,088"				1.00						
Maryland	Caroline	county	SCH	397				1.00						
Maryland	Carroll	county	SCH	"1,839"				0.99						
Maryland	Cecil	county	SCH	"1,209"				1.00						
Maryland	Charles	county	SCH	"1,781"				1.00						
Maryland	Dorchester	county	SCH	292				1.00						
Maryland	Frederick	county	SCH	"3,048"				1.00						
Maryland	Garrett	county	SCH	280				1.00						
Maryland	Harford	county	SCH	"2,969"				1.00						
Maryland	Howard	county	SCH	"4,258"				1.00						
Maryland	Kent	county	SCH	174				0.99						
Maryland	Montgomery	county	SCH	"12,416"				0.99						
Maryland	Prince George's	county	SCH	"10,771"				0.97						
Maryland	Queen Anne's	county	SCH	569				1.00						
Maryland	Somerset	county	SCH	282				1.00						
Maryland	St. Mary's	county	SCH	"1,328"				1.00						
Maryland	Talbot	county	SCH	531				1.00						
Maryland	Washington	county	SCH	"1,515"				0.99						
Maryland	Wicomico	county	SCH	"1,349"				0.98						
Maryland	Worcester	county	SCH	480				0.99						
Massachusetts	Barnstable	county	SCH	"1,760"	35			0.95						
Massachusetts	Berkshire	county	SCH	"1,236"	41			0.93						
Massachusetts	Bristol	county	SCH	"6,080"	105			0.98						
Massachusetts	Dukes	county	SCH	189	7			0.89						
Massachusetts	Essex	county	SCH	"9,084"	182			0.96						
Massachusetts	Franklin	county	SCH	600	27			0.93						
Massachusetts	Hampden	county	SCH	"5,550"	103			0.96						
Massachusetts	Hampshire	county	SCH	"1,259"	37			0.92						
Massachusetts	Middlesex	county	SCH	"17,998"	310			0.98						
Massachusetts	Nantucket	county	SCH	154	3			0.93						
Massachusetts	Norfolk	county	SCH	"7,811"	145			0.98						
Massachusetts	Plymouth	county	SCH	"5,739"	83			0.96						
Massachusetts	Suffolk	county	SCH	"7,747"	137			0.80						
Massachusetts	Worcester	county	SCH	"9,662"	158			0.95						
MICHIGAN	Alcona	county	SCH					0.71						
MICHIGAN	Alger	county	SCH					0.75						
MICHIGAN	Allegan	county	SCH					0.84						
MICHIGAN	Alpena	county	SCH					0.84						
MICHIGAN	Antrim	county	SCH					0.77						
MICHIGAN	Arenac	county	SCH					0.85						
MICHIGAN	Baraga	county	SCH					0.76						
MICHIGAN	Barry	county	SCH					0.83						
MICHIGAN	Bay	county	SCH					0.82						
MICHIGAN	Benzie	county	SCH					0.79						
MICHIGAN	Berrien	county	SCH					0.69						
MICHIGAN	Branch	county	SCH					0.84						
MICHIGAN	Calhoun	county	SCH					0.87						
MICHIGAN	Cass	county	SCH					0.70						
MICHIGAN	Charlevoix	county	SCH					0.79						
MICHIGAN	Cheboygan	county	SCH					0.82						
MICHIGAN	Chippewa	county	SCH					0.82						
MICHIGAN	Clare	county	SCH					0.80						
MICHIGAN	Clinton	county	SCH					0.83						
MICHIGAN	Crawford	county	SCH					0.86						
MICHIGAN	Delta	county	SCH					0.80						
MICHIGAN	Detroit	county	SCH					0.82						
MICHIGAN	Dickinson	county	SCH					0.76						
MICHIGAN	Eaton	county	SCH					0.82						
MICHIGAN	Emmet	county	SCH					0.78						
MICHIGAN	Genesee	county	SCH					0.79						
MICHIGAN	Gladwin	county	SCH					0.79						
MICHIGAN	Gogebic	county	SCH					0.78						
MICHIGAN	Grand Traverse	county	SCH					0.80						
MICHIGAN	Gratiot	county	SCH					0.86						
MICHIGAN	Hillsdale	county	SCH					0.84						
MICHIGAN	Houghton	county	SCH					0.72						
MICHIGAN	Huron	county	SCH					0.85						
MICHIGAN	Ingham	county	SCH					0.79						
MICHIGAN	Ionia	county	SCH					0.84						
MICHIGAN	Iosco	county	SCH					0.81						
MICHIGAN	Iron	county	SCH					0.83						
MICHIGAN	Isabella	county	SCH					0.81						
MICHIGAN	Jackson	county	SCH					0.82						
MICHIGAN	Kalamazoo	county	SCH					0.84						
MICHIGAN	Kalkaska	county	SCH					0.77						
MICHIGAN	Kent	county	SCH					0.82						
MICHIGAN	Keweenaw	county	SCH					0.59						
MICHIGAN	Lake	county	SCH					0.78						
MICHIGAN	Lapeer	county	SCH					0.75						
MICHIGAN	Leelanau	county	SCH					0.80						
MICHIGAN	Lenawee	county	SCH					0.81						
MICHIGAN	Livingston	county	SCH					0.79						
MICHIGAN	Luce	county	SCH					0.79						
MICHIGAN	Mackinac	county	SCH					0.85						
MICHIGAN	Macomb	county	SCH					0.81						
MICHIGAN	Manistee	county	SCH					0.67						
MICHIGAN	Marquette	county	SCH					0.81						
MICHIGAN	Mason	county	SCH					0.78						
MICHIGAN	Mecosta	county	SCH					0.85						
MICHIGAN	Menominee	county	SCH					0.59						
MICHIGAN	Midland	county	SCH					0.73						
MICHIGAN	Missaukee	county	SCH					0.81						
MICHIGAN	Monroe	county	SCH					0.68						
MICHIGAN	Montcalm	county	SCH					0.85						
MICHIGAN	Montmorency	county	SCH					0.80						
MICHIGAN	Muskegon	county	SCH					0.85						
MICHIGAN	Newaygo	county	SCH					0.83						
MICHIGAN	Oakland	county	SCH					0.77						
MICHIGAN	Oceana	county	SCH					0.79						
MICHIGAN	Ogemaw	county	SCH					0.77						
MICHIGAN	Ontonagon	county	SCH					0.75						
MICHIGAN	Osceola	county	SCH					0.84						
MICHIGAN	Oscoda	county	SCH					0.71						
MICHIGAN	Otsego	county	SCH					0.80						
MICHIGAN	Ottawa	county	SCH					0.84						
MICHIGAN	Presque Isle	county	SCH					0.91						
MICHIGAN	Roscommon	county	SCH					0.79						
MICHIGAN	Saginaw	county	SCH					0.83						
MICHIGAN	St Clair	county	SCH					0.80						
MICHIGAN	St Joseph	county	SCH					0.80						
MICHIGAN	Sanilac	county	SCH					0.81						
MICHIGAN	Schoolcraft	county	SCH					0.74						
MICHIGAN	Shiawassee	county	SCH					0.82						
MICHIGAN	Tuscola	county	SCH					0.83						
MICHIGAN	Van Buren	county	SCH					0.82						
MICHIGAN	Washtenaw	county	SCH					0.76						
MICHIGAN	Wayne	county	SCH					0.81						
MICHIGAN	Wexford	county	SCH					0.84						
MINNESOTA	AITKIN	county	SCH	129				0.90						
MINNESOTA	ANOKA	county	SCH	4366				0.95						
MINNESOTA	BECKER	county	SCH	348				0.93						
MINNESOTA	BELTRAMI	county	SCH	587				0.92						
MINNESOTA	BENTON	county	SCH	556				0.93						
MINNESOTA	BIG STONE	county	SCH	32				1.00						
MINNESOTA	BLUE EARTH	county	SCH	734				0.98						
MINNESOTA	BROWN	county	SCH	353				0.97						
MINNESOTA	CARLTON	county	SCH	540				0.96						
MINNESOTA	CARVER	county	SCH	1378				0.95						
MINNESOTA	CASS	county	SCH	343				0.88						
MINNESOTA	CHIPPEWA	county	SCH	104				0.95						
MINNESOTA	CHISAGO	county	SCH	555				0.95						
MINNESOTA	CLAY	county	SCH	899				0.89						
MINNESOTA	CLEARWATER	county	SCH	115				0.83						
MINNESOTA	COOK	county	SCH	70				0.91						
MINNESOTA	COTTONWOOD	county	SCH	160				0.93						
MINNESOTA	CROW WING	county	SCH	771				0.94						
MINNESOTA	DAKOTA	county	SCH	5433				0.96						
MINNESOTA	DODGE	county	SCH	282				0.97						
MINNESOTA	DOUGLAS	county	SCH	391				0.96						
MINNESOTA	FARIBAULT	county	SCH	173				0.96						
MINNESOTA	FILLMORE	county	SCH	244				0.93						
MINNESOTA	FREEBORN	county	SCH	317				0.98						
MINNESOTA	GOODHUE	county	SCH	556				0.96						
MINNESOTA	GRANT	county	SCH	104				0.85						
MINNESOTA	HENNEPIN	county	SCH	14915				0.93						
MINNESOTA	HOUSTON	county	SCH	282				0.90						
MINNESOTA	HUBBARD	county	SCH	188				0.92						
MINNESOTA	ISANTI	county	SCH	447				0.94						
MINNESOTA	ITASCA	county	SCH	561				0.95						
MINNESOTA	JACKSON	county	SCH	104				0.91						
MINNESOTA	KANABEC	county	SCH	142				0.86						
MINNESOTA	KANDIYOHI	county	SCH	568				0.96						
MINNESOTA	KITTSON	county	SCH	47				1.00						
MINNESOTA	KOOCHICHING	county	SCH	144				0.95						
MINNESOTA	LAC QUI PARLE	county	SCH	55				0.95						
MINNESOTA	LAKE	county	SCH	99				0.98						
MINNESOTA	LAKE OF THE WOODS	county	SCH	33				0.94						
MINNESOTA	LE SUEUR	county	SCH	305				0.96						
MINNESOTA	LINCOLN	county	SCH	51				0.94						
MINNESOTA	LYON	county	SCH	425				0.96						
MINNESOTA	MAHNOMEN	county	SCH	129				0.98						
MINNESOTA	MARSHALL	county	SCH	123				0.98						
MINNESOTA	MARTIN	county	SCH	220				0.85						
MINNESOTA	MCLEOD	county	SCH	450				0.94						
MINNESOTA	MEEKER	county	SCH	262				0.95						
MINNESOTA	MILLE LACS	county	SCH	439				0.89						
MINNESOTA	MORRISON	county	SCH	504				0.95						
MINNESOTA	MOWER	county	SCH	533				0.96						
MINNESOTA	MURRAY	county	SCH	81				0.99						
MINNESOTA	NICOLLET	county	SCH	397				0.98						
MINNESOTA	NOBLES	county	SCH	315				0.97						
MINNESOTA	NORMAN	county	SCH	67				0.97						
MINNESOTA	OLMSTED	county	SCH	1969				0.97						
MINNESOTA	OTTER TAIL	county	SCH	632				0.91						
MINNESOTA	PENNINGTON	county	SCH	34				0.74						
MINNESOTA	PINE	county	SCH	260				0.82						
MINNESOTA	PIPESTONE	county	SCH	202				0.86						
MINNESOTA	POLK	county	SCH	465				0.95						
MINNESOTA	POPE	county	SCH	114				0.92						
MINNESOTA	RAMSEY	county	SCH	7241				0.91						
MINNESOTA	RED LAKE	county	SCH	46				0.98						
MINNESOTA	REDWOOD	county	SCH	183				0.94						
MINNESOTA	RENVILLE	county	SCH	160				0.91						
MINNESOTA	RICE	county	SCH	692				0.97						
MINNESOTA	ROCK	county	SCH	102				0.96						
MINNESOTA	ROSEAU	county	SCH	112				0.99						
MINNESOTA	SCOTT	county	SCH	2124				0.95						
MINNESOTA	SHERBURNE	county	SCH	1153				0.93						
MINNESOTA	SIBLEY	county	SCH	181				0.81						
MINNESOTA	ST. LOUIS	county	SCH	2045				0.94						
MINNESOTA	STEARNS	county	SCH	1836				0.92						
MINNESOTA	STEELE	county	SCH	569				0.97						
MINNESOTA	STEVENS	county	SCH	110				0.99						
MINNESOTA	SWIFT	county	SCH	156				0.93						
MINNESOTA	TODD	county	SCH	227				0.95						
MINNESOTA	TRAVERSE	county	SCH	48				0.96						
MINNESOTA	WABASHA	county	SCH	257				0.98						
MINNESOTA	WADENA	county	SCH	237				0.92						
MINNESOTA	WASECA	county	SCH	217				0.99						
MINNESOTA	WASHINGTON	county	SCH	3197				0.94						
MINNESOTA	WATONWAN	county	SCH	128				0.99						
MINNESOTA	WILKIN	county	SCH	86				0.86						
MINNESOTA	WINONA	county	SCH	467				0.96						
MINNESOTA	WRIGHT	county	SCH	2100				0.94						
MINNESOTA	YELLOW MEDICINE	county	SCH	94				0.96						
Mississippi	ADAMS	county	SCH	450							1			
Mississippi	ALCORN	county	SCH	463							0.99			
Mississippi	AMITE	county	SCH	149							1			
Mississippi	ATTALA	county	SCH	332							1			
Mississippi	BENTON	county	SCH	109							1			
Mississippi	BOLIVAR	county	SCH	595							0.99			
Mississippi	CALHOUN	county	SCH	223							1			
Mississippi	CARROLL	county	SCH	87							1			
Mississippi	CHICKASAW	county	SCH	229							1			
Mississippi	CHOCTAW	county	SCH	126							1			
Mississippi	CLAIBORNE	county	SCH	124							0.99			
Mississippi	CLARKE	county	SCH	217							1			
Mississippi	CLAY	county	SCH	310							1			
Mississippi	COAHOMA	county	SCH	464							0.99			
Mississippi	COPIAH	county	SCH	407							1			
Mississippi	COVINGTON	county	SCH	325							1			
Mississippi	DESOTO	county	SCH	2867							0.99			
Mississippi	FORREST	county	SCH	1162							0.99			
Mississippi	FRANKLIN	county	SCH	107							1			
Mississippi	GEORGE	county	SCH	350							1			
Mississippi	GREENE	county	SCH	182							1			
Mississippi	GRENADA	county	SCH	366							1			
Mississippi	HANCOCK	county	SCH	671							0.99			
Mississippi	HARRISON	county	SCH	2901							0.99			
Mississippi	HINDS	county	SCH	3794							0.99			
Mississippi	HOLMES	county	SCH	322							0.98			
Mississippi	HUMPHREYS	county	SCH	156							0.99			
Mississippi	ITAWAMBA	county	SCH	326							1			
Mississippi	JACKSON	county	SCH	1871							0.99			
Mississippi	JASPER	county	SCH	221							0.99			
Mississippi	JEFFERSON	county	SCH	105							1			
Mississippi	JEFF DAVIS	county	SCH	144							1			
Mississippi	JONES	county	SCH	1160							0.99			
Mississippi	KEMPER	county	SCH	100							1			
Mississippi	LAFAYETTE	county	SCH	563							1			
Mississippi	LAMAR	county	SCH	933							1			
Mississippi	LAUDERDALE	county	SCH	1040							1			
Mississippi	LAWRENCE	county	SCH	201							1			
Mississippi	LEAKE	county	SCH	370							1			
Mississippi	LEE	county	SCH	1298							0.99			
Mississippi	LEFLORE	county	SCH	540							1			
Mississippi	LINCOLN	county	SCH	569							1			
Mississippi	LOWNDES	county	SCH	871							0.99			
Mississippi	MADISON	county	SCH	1488							0.99			
Mississippi	MARION	county	SCH	372							1			
Mississippi	MARSHALL	county	SCH	403							1			
Mississippi	MONROE	county	SCH	460							1			
Mississippi	MONTGOMERY	county	SCH	168							1			
Mississippi	NESHOBA	county	SCH	545							1			
Mississippi	NEWTON	county	SCH	348							1			
Mississippi	NOXUBEE	county	SCH	132							0.99			
Mississippi	OKTIBBEHA	county	SCH	529							1			
Mississippi	PANOLA	county	SCH	585							1			
Mississippi	PEARL RIVER	county	SCH	684							0.99			
Mississippi	PERRY	county	SCH	178							0.98			
Mississippi	PIKE	county	SCH	636							0.99			
Mississippi	PONTOTOC	county	SCH	484							0.99			
Mississippi	PRENTISS	county	SCH	413							1			
Mississippi	QUITMAN	county	SCH	107							1			
Mississippi	RANKIN	county	SCH	2026							0.99			
Mississippi	SCOTT	county	SCH	552							1			
Mississippi	SHARKEY/ISSAQUENA	county	SCH	86							1			
Mississippi	SIMPSON	county	SCH	391							0.99			
Mississippi	SMITH	county	SCH	242							1			
Mississippi	STONE	county	SCH	205							1			
Mississippi	SUNFLOWER	county	SCH	364							1			
Mississippi	TALLAHATCHIE	county	SCH	201							1			
Mississippi	TATE	county	SCH	412							1			
Mississippi	TIPPAH	county	SCH	381							1			
Mississippi	TISHOMINGO	county	SCH	276							0.99			
Mississippi	TUNICA	county	SCH	185							1			
Mississippi	UNION	county	SCH	457							1			
Mississippi	WALTHALL	county	SCH	166							0.99			
Mississippi	WARREN	county	SCH	714							0.99			
Mississippi	WASHINGTON	county	SCH	759							0.98			
Mississippi	WAYNE	county	SCH	294							1			
Mississippi	WEBSTER	county	SCH	161							1			
Mississippi	WILKINSON	county	SCH	115							1			
Mississippi	WINSTON	county	SCH	290							1			
Mississippi	YALOBUSHA	county	SCH	137							1			
Mississippi	YAZOO	county	SCH	383							0.99			
MISSOURI	Adair	county	SCH					0.97						
MISSOURI	Andrew	county	SCH					0.98						
MISSOURI	Atchison	county	SCH					0.98						
MISSOURI	Audrain	county	SCH					0.97						
MISSOURI	Barry	county	SCH					0.96						
MISSOURI	Barton	county	SCH					0.99						
MISSOURI	Bates	county	SCH					0.97						
MISSOURI	Benton	county	SCH					0.92						
MISSOURI	Bollinger	county	SCH					0.99						
MISSOURI	Boone	county	SCH					0.98						
MISSOURI	Buchanan	county	SCH					0.98						
MISSOURI	Butler	county	SCH					0.97						
MISSOURI	Caldwell	county	SCH					0.96						
MISSOURI	Callaway	county	SCH					0.95						
MISSOURI	Camden	county	SCH					0.94						
MISSOURI	Cape Girardeau	county	SCH					0.96						
MISSOURI	Carroll	county	SCH					1.00						
MISSOURI	Carter	county	SCH					0.94						
MISSOURI	Cass	county	SCH					0.95						
MISSOURI	Cedar	county	SCH					0.97						
MISSOURI	Chariton	county	SCH					1.00						
MISSOURI	Christian	county	SCH					0.94						
MISSOURI	Clark	county	SCH					1.00						
MISSOURI	Clay	county	SCH					0.96						
MISSOURI	Clinton	county	SCH					0.95						
MISSOURI	Cole	county	SCH					0.98						
MISSOURI	Cooper	county	SCH					0.98						
MISSOURI	Crawford	county	SCH					0.96						
MISSOURI	Dade	county	SCH					0.94						
MISSOURI	Dallas	county	SCH					0.95						
MISSOURI	Daviess	county	SCH					0.88						
MISSOURI	DeKalb	county	SCH					0.99						
MISSOURI	Dent	county	SCH					0.97						
MISSOURI	Douglas	county	SCH					0.95						
MISSOURI	Dunklin	county	SCH					0.98						
MISSOURI	Franklin	county	SCH					0.94						
MISSOURI	Gasconade	county	SCH					0.99						
MISSOURI	Gentry	county	SCH					0.97						
MISSOURI	Greene	county	SCH					0.96						
MISSOURI	Grundy	county	SCH					0.95						
MISSOURI	Harrison	county	SCH					0.99						
MISSOURI	Henry	county	SCH					0.93						
MISSOURI	Hickory	county	SCH					0.82						
MISSOURI	Holt	county	SCH					0.98						
MISSOURI	Howard	county	SCH					0.97						
MISSOURI	Howell	county	SCH					0.91						
MISSOURI	Iron	county	SCH					0.98						
MISSOURI	Jackson	county	SCH					0.96						
MISSOURI	Jasper	county	SCH					0.97						
MISSOURI	Jefferson	county	SCH					0.98						
MISSOURI	Johnson	county	SCH					0.96						
MISSOURI	Knox	county	SCH					1.00						
MISSOURI	Laclede	county	SCH					0.96						
MISSOURI	Lafayette	county	SCH					0.97						
MISSOURI	Lawrence	county	SCH					0.96						
MISSOURI	Lewis	county	SCH					0.98						
MISSOURI	Lincoln	county	SCH					0.97						
MISSOURI	Linn	county	SCH					0.98						
MISSOURI	Livingston	county	SCH					0.94						
MISSOURI	Macon	county	SCH					0.97						
MISSOURI	Madison	county	SCH					0.98						
MISSOURI	Maries	county	SCH					1.00						
MISSOURI	Marion	county	SCH					0.96						
MISSOURI	McDonald	county	SCH					0.91						
MISSOURI	Mercer	county	SCH					1.00						
MISSOURI	Miller	county	SCH					0.97						
MISSOURI	Mississippi	county	SCH					0.99						
MISSOURI	Moniteau	county	SCH					0.99						
MISSOURI	Monroe	county	SCH					0.97						
MISSOURI	Montgomery	county	SCH					0.98						
MISSOURI	Morgan	county	SCH					0.94						
MISSOURI	New Madrid	county	SCH					1.00						
MISSOURI	Newton	county	SCH					0.97						
MISSOURI	Nodaway	county	SCH					0.97						
MISSOURI	Oregon	county	SCH					0.94						
MISSOURI	Osage	county	SCH					0.99						
MISSOURI	Ozark	county	SCH					0.89						
MISSOURI	Pemiscot	county	SCH					0.96						
MISSOURI	Perry	county	SCH					0.98						
MISSOURI	Pettis	county	SCH					0.94						
MISSOURI	Phelps	county	SCH					0.96						
MISSOURI	Pike	county	SCH					0.97						
MISSOURI	Platte	county	SCH					0.96						
MISSOURI	Polk	county	SCH					0.94						
MISSOURI	Pulaski	county	SCH					0.96						
MISSOURI	Putnam	county	SCH					0.93						
MISSOURI	Ralls	county	SCH					1.00						
MISSOURI	Randolph	county	SCH					0.96						
MISSOURI	Ray	county	SCH					0.96						
MISSOURI	Reynolds	county	SCH					0.96						
MISSOURI	Ripley	county	SCH					0.95						
MISSOURI	Saline	county	SCH					0.97						
MISSOURI	Schuyler	county	SCH					1.00						
MISSOURI	Scotland	county	SCH					0.97						
MISSOURI	Scott	county	SCH					0.97						
MISSOURI	Shannon	county	SCH					0.86						
MISSOURI	Shelby	county	SCH					0.98						
MISSOURI	St Charles	county	SCH					0.95						
MISSOURI	St Clair	county	SCH					0.95						
MISSOURI	St Francois	county	SCH					0.85						
MISSOURI	St Louis City	county	SCH					0.98						
MISSOURI	St Louis	county	SCH					0.92						
MISSOURI	Ste. Genevieve	county	SCH					0.93						
MISSOURI	Stoddard	county	SCH					0.99						
MISSOURI	Stone	county	SCH					0.96						
MISSOURI	Sullivan	county	SCH					0.96						
MISSOURI	Taney	county	SCH					0.95						
MISSOURI	Texas	county	SCH					0.94						
MISSOURI	Vernon	county	SCH					0.93						
MISSOURI	Warren	county	SCH					0.97						
MISSOURI	Washington	county	SCH					0.95						
MISSOURI	Wayne	county	SCH					0.97						
MISSOURI	Webster	county	SCH					0.94						
MISSOURI	Worth	county	SCH					1.00						
MISSOURI	Wright	county	SCH					0.96						
MONTANA	Beaverhead	county						0.98						
MONTANA	Big Horn	county						0.95						
MONTANA	Blaine	county						0.97						
MONTANA	Broadwater	county						0.96						
MONTANA	Carbon	county						0.92						
MONTANA	Carter	county						0.82						
MONTANA	Cascade	county						0.96						
MONTANA	Chouteau	county						1.00						
MONTANA	Custer	county						0.98						
MONTANA	Daniels	county						0.94						
MONTANA	Dawson	county						0.92						
MONTANA	Deer Lodge	county						1.00						
MONTANA	Fallon	county						1.00						
MONTANA	Fergus	county						0.94						
MONTANA	Flathead	county						0.91						
MONTANA	Gallatin	county						0.94						
MONTANA	Garfield	county						0.94						
MONTANA	Glacier	county						0.98						
MONTANA	Golden Valley	county						0.67						
MONTANA	Granite	county						0.89						
MONTANA	Hill	county						1.00						
MONTANA	Jefferson	county						0.98						
MONTANA	Judith Basin	county						0.92						
MONTANA	Lake	county						0.94						
MONTANA	Lewis & Clark	county						0.96						
MONTANA	Liberty	county						0.94						
MONTANA	Lincoln	county						0.87						
MONTANA	Madison	county						0.98						
MONTANA	McCone	county						0.90						
MONTANA	Meagher	county						1.00						
MONTANA	Mineral	county						1.00						
MONTANA	Missoula	county						0.96						
MONTANA	Musselshell	county						0.91						
MONTANA	Park	county						0.95						
MONTANA	Petroleum	county						0.86						
MONTANA	Phillips	county						0.96						
MONTANA	Pondera	county						0.94						
MONTANA	Powder River	county						0.89						
MONTANA	Powell	county						0.97						
MONTANA	Prairie	county						0.95						
MONTANA	Ravalli	county						0.85						
MONTANA	Richland	county						0.96						
MONTANA	Roosevelt	county						0.96						
MONTANA	Rosebud	county						0.98						
MONTANA	Sanders	county						0.84						
MONTANA	Sheridan	county						1.00						
MONTANA	Silver Bow	county						0.98						
MONTANA	Stillwater	county						0.99						
MONTANA	Sweet Grass	county						1.00						
MONTANA	Teton	county						0.95						
