"","j","prior_mu","prior_sigma","prior_weight","log_C","grid","prior_d","post_d"
"92","1",0,1,0.25,-393.858431564317,-36.3581790895448,3.55009688752414e-288,5.69774327377708e-280
"93","1",0,1,0.25,-393.858431564317,-36.3181590795398,1.51989870730692e-287,2.71808153333319e-279
"94","1",0,1,0.25,-393.858431564317,-36.2781390695348,6.49671056467888e-287,1.29414814496231e-278
"95","1",0,1,0.25,-393.858431564317,-36.2381190595298,2.77253364871362e-286,6.14989102978022e-278
"96","1",0,1,0.25,-393.858431564317,-36.1980990495248,1.18131186447354e-285,2.91684102803341e-277
"97","1",0,1,0.25,-393.858431564317,-36.1580790395198,5.02523920611523e-285,1.3807657751207e-276
"98","1",0,1,0.25,-393.858431564317,-36.1180590295148,2.13428959164358e-284,6.52362791249312e-276
"99","1",0,1,0.25,-393.858431564317,-36.0780390195098,9.05012102427234e-284,3.07624036677408e-275
"100","1",0,1,0.25,-393.858431564317,-36.0380190095048,3.83142087256044e-283,1.44781565408897e-274
"101","1",0,1,0.25,-393.858431564317,-35.9979989994997,1.61945829435432e-282,6.80092815573982e-274
"102","1",0,1,0.25,-393.858431564317,-35.9579789894947,6.83414374069355e-282,3.18848974664151e-273
"103","1",0,1,0.25,-393.858431564317,-35.9179589794897,2.87940585341723e-281,1.49198268179291e-272
"104","1",0,1,0.25,-393.858431564317,-35.8779389694847,1.21122852699194e-280,6.96794092467774e-272
"105","1",0,1,0.25,-393.858431564317,-35.8379189594797,5.0869062279655e-280,3.24793298210016e-271
"106","1",0,1,0.25,-393.858431564317,-35.7978989494747,2.13297520240379e-279,1.5110247616323e-270
"107","1",0,1,0.25,-393.858431564317,-35.7578789394697,8.92940074887413e-279,7.01613645037321e-270
"108","1",0,1,0.25,-393.858431564317,-35.7178589294647,3.73218579695717e-278,3.25151975031537e-269
"109","1",0,1,0.25,-393.858431564317,-35.6778389194597,1.55743033926901e-277,1.50396140482623e-268
"110","1",0,1,0.25,-393.858431564317,-35.6378189094547,6.48871110941796e-277,6.94302793699452e-268
"111","1",0,1,0.25,-393.858431564317,-35.5977988994497,2.69906088009695e-276,3.19906497826993e-267
"112","1",0,1,0.25,-393.858431564317,-35.5577788894447,1.12091157984535e-275,1.47115739219714e-266
"113","1",0,1,0.25,-393.858431564317,-35.5177588794397,4.64766122705773e-275,6.75238419246788e-266
"114","1",0,1,0.25,-393.858431564317,-35.4777388694347,1.92398643781195e-274,3.09326466745753e-265
"115","1",0,1,0.25,-393.858431564317,-35.4377188594297,7.95195624677955e-274,1.41429155636582e-264
"116","1",0,1,0.25,-393.858431564317,-35.3976988494247,3.28133363858675e-273,6.45390767492078e-264
"117","1",0,1,0.25,-393.858431564317,-35.3576788394197,1.35185849056573e-272,2.93946627264417e-263
"118","1",0,1,0.25,-393.858431564317,-35.3176588294147,5.56053410505072e-272,1.33621440323945e-262
"119","1",0,1,0.25,-393.858431564317,-35.2776388194097,2.28352735233237e-271,6.06241623950618e-262
"120","1",0,1,0.25,-393.858431564317,-35.2376188094047,9.36268388956718e-271,2.74522085849151e-261
"121","1",0,1,0.25,-393.858431564317,-35.1975987993997,3.83264802041726e-270,1.24071138116248e-260
"122","1",0,1,0.25,-393.858431564317,-35.1575787893947,1.56639737338675e-269,5.59662464235948e-260
"123","1",0,1,0.25,-393.858431564317,-35.1175587793897,6.39159707242634e-269,2.51966923890242e-259
"124","1",0,1,0.25,-393.858431564317,-35.0775387693847,2.6038817967331e-268,1.1321991589054e-258
"125","1",0,1,0.25,-393.858431564317,-35.0375187593797,1.0591014810423e-267,5.07766521527916e-258
"126","1",0,1,0.25,-393.858431564317,-34.9974987493747,4.3008898362962e-267,2.27283150598525e-257
"127","1",0,1,0.25,-393.858431564317,-34.9574787393697,1.74374708773454e-266,1.0153887845715e-256
"128","1",0,1,0.25,-393.858431564317,-34.9174587293647,7.0585111554488e-266,4.52751009971147e-256
"129","1",0,1,0.25,-393.858431564317,-34.8774387193597,2.85264119117195e-265,2.01487653431987e-255
"130","1",0,1,0.25,-393.858431564317,-34.8374187093547,1.15102730438719e-264,8.94951286839411e-255
"131","1",0,1,0.25,-393.858431564317,-34.7973986993497,4.63690861055849e-264,3.96745767472112e-254
"132","1",0,1,0.25,-393.858431564317,-34.7573786893447,1.86498730662581e-263,1.75544471502938e-253
"133","1",0,1,0.25,-393.858431564317,-34.7173586793397,7.48906599336943e-263,7.75218200790856e-253
"134","1",0,1,0.25,-393.858431564317,-34.6773386693347,3.00250589210158e-262,3.41682483906225e-252
"135","1",0,1,0.25,-393.858431564317,-34.6373186593297,1.20183407313552e-261,1.50308459059616e-251
"136","1",0,1,0.25,-393.858431564317,-34.5972986493247,4.80296686074699e-261,6.59942476945736e-251
"137","1",0,1,0.25,-393.858431564317,-34.5572786393197,1.91636884233141e-260,2.89194944434043e-250
"138","1",0,1,0.25,-393.858431564317,-34.5172586293147,7.63401564533185e-260,1.26484487651315e-249
"139","1",0,1,0.25,-393.858431564317,-34.4772386193097,3.03620732431975e-259,5.52135652846921e-249
"140","1",0,1,0.25,-393.858431564317,-34.4372186093047,1.20563052426113e-258,2.40556044896678e-248
"141","1",0,1,0.25,-393.858431564317,-34.3971985992996,4.77970925542353e-258,1.04604102204157e-247
"142","1",0,1,0.25,-393.858431564317,-34.3571785892946,1.89187813508151e-257,4.53986687193058e-247
"143","1",0,1,0.25,-393.858431564317,-34.3171585792896,7.47634389355691e-257,1.9665250359484e-246
"144","1",0,1,0.25,-393.858431564317,-34.2771385692846,2.94978127725775e-256,8.50193546018247e-246
"145","1",0,1,0.25,-393.858431564317,-34.2371185592796,1.16196967308142e-255,3.66858081768685e-245
"146","1",0,1,0.25,-393.858431564317,-34.1970985492746,4.56987378277676e-255,1.57993908202567e-244
"147","1",0,1,0.25,-393.858431564317,-34.1570785392696,1.79439500106334e-254,6.79116932075973e-244
"148","1",0,1,0.25,-393.858431564317,-34.1170585292646,7.0345501407828e-254,2.91347128204794e-243
"149","1",0,1,0.25,-393.858431564317,-34.0770385192596,2.75333491339415e-253,1.24749522570226e-242
"150","1",0,1,0.25,-393.858431564317,-34.0370185092546,1.07593537725597e-252,5.33124954613988e-242
"151","1",0,1,0.25,-393.858431564317,-33.9969984992496,4.19776156417355e-252,2.27395099308212e-241
"152","1",0,1,0.25,-393.858431564317,-33.9569784892446,1.63513561978489e-251,9.68044141716095e-241
"153","1",0,1,0.25,-393.858431564317,-33.9169584792396,6.35907907327937e-251,4.11311823318289e-240
"154","1",0,1,0.25,-393.858431564317,-33.8769384692346,2.46910241819367e-250,1.74425187950846e-239
"155","1",0,1,0.25,-393.858431564317,-33.8369184592296,9.57168544037658e-250,7.38259731130108e-239
"156","1",0,1,0.25,-393.858431564317,-33.7968984492246,3.70460717954276e-249,3.11868230768914e-238
"157","1",0,1,0.25,-393.858431564317,-33.7568784392196,1.43152963756412e-248,1.31490709825527e-237
"158","1",0,1,0.25,-393.858431564317,-33.7168584292146,5.52284630008322e-248,5.53325877330474e-237
"159","1",0,1,0.25,-393.858431564317,-33.6768384192096,2.12730618950055e-247,2.32396119546392e-236
"160","1",0,1,0.25,-393.858431564317,-33.6368184092046,8.18090752978203e-247,9.74178955298182e-236
"161","1",0,1,0.25,-393.858431564317,-33.5967983991996,3.141068425997e-246,4.07577871201538e-235
"162","1",0,1,0.25,-393.858431564317,-33.5567783891946,1.20408665823855e-245,1.70194073409478e-234
"163","1",0,1,0.25,-393.858431564317,-33.5167583791896,4.60831889594633e-245,7.09316811397961e-234
"164","1",0,1,0.25,-393.858431564317,-33.4767383691846,1.76088801877124e-244,2.95051657619178e-233
"165","1",0,1,0.25,-393.858431564317,-33.4367183591796,6.71777394715779e-244,1.22494855945053e-232
"166","1",0,1,0.25,-393.858431564317,-33.3966983491746,2.55872414005943e-243,5.07574308487461e-232
"167","1",0,1,0.25,-393.858431564317,-33.3566783391696,9.73029440251329e-243,2.09914965093335e-231
"168","1",0,1,0.25,-393.858431564317,-33.3166583291646,3.69430653504358e-242,8.66461281907456e-231
"169","1",0,1,0.25,-393.858431564317,-33.2766383191596,1.40037487170284e-241,3.56957829633681e-230
"170","1",0,1,0.25,-393.858431564317,-33.2366183091546,5.29980784449752e-241,1.46773164087583e-229
"171","1",0,1,0.25,-393.858431564317,-33.1965982991496,2.00253618120768e-240,6.02335410071551e-229
"172","1",0,1,0.25,-393.858431564317,-33.1565782891446,7.55448829870645e-240,2.46713053874715e-228
"173","1",0,1,0.25,-393.858431564317,-33.1165582791396,2.84533998919372e-239,1.00857421232106e-227
"174","1",0,1,0.25,-393.858431564317,-33.0765382691346,1.06996042800439e-238,4.11514922429834e-227
"175","1",0,1,0.25,-393.858431564317,-33.0365182591296,4.01703575587978e-238,1.67581207783452e-226
"176","1",0,1,0.25,-393.858431564317,-32.9964982491246,1.50573349888073e-237,6.81125350640721e-226
"177","1",0,1,0.25,-393.858431564317,-32.9564782391196,5.63501350210616e-237,2.76306291982731e-225
"178","1",0,1,0.25,-393.858431564317,-32.9164582291146,2.10545635396094e-236,1.11870739268964e-224
"179","1",0,1,0.25,-393.858431564317,-32.8764382191096,7.85420004212628e-236,4.52068499175601e-224
"180","1",0,1,0.25,-393.858431564317,-32.8364182091046,2.92524406664152e-235,1.82328260792265e-223
"181","1",0,1,0.25,-393.858431564317,-32.7963981990995,1.0877439824023e-234,7.3394875800175e-223
"182","1",0,1,0.25,-393.858431564317,-32.7563781890945,4.03827327692688e-234,2.94876049006566e-222
"183","1",0,1,0.25,-393.858431564317,-32.7163581790895,1.49681854126158e-233,1.18242953086075e-221
"184","1",0,1,0.25,-393.858431564317,-32.6763381690845,5.53919987936987e-233,4.73230848597727e-221
"185","1",0,1,0.25,-393.858431564317,-32.6363181590795,2.04658295478085e-232,1.89030916275211e-220
"186","1",0,1,0.25,-393.858431564317,-32.5962981490745,7.54946371591857e-232,7.53623869398833e-220
"187","1",0,1,0.25,-393.858431564317,-32.5562781390695,2.78040003321823e-231,2.99873760798696e-219
"188","1",0,1,0.25,-393.858431564317,-32.5162581290645,1.02235776839819e-230,1.19092470273327e-218
"189","1",0,1,0.25,-393.858431564317,-32.4762381190595,3.75321074566875e-230,4.72054518340853e-218
"190","1",0,1,0.25,-393.858431564317,-32.4362181090545,1.37564835838608e-229,1.86750611813057e-217
"191","1",0,1,0.25,-393.858431564317,-32.3961980990495,5.03403639237009e-229,7.37384370638897e-217
"192","1",0,1,0.25,-393.858431564317,-32.3561780890445,1.83920314501371e-228,2.90594804299757e-216
"193","1",0,1,0.25,-393.858431564317,-32.3161580790395,6.70884077129834e-228,1.14299356462493e-215
"194","1",0,1,0.25,-393.858431564317,-32.2761380690345,2.44326009190726e-227,4.48705868984529e-215
"195","1",0,1,0.25,-393.858431564317,-32.2361180590295,8.88375047475046e-227,1.75809258002345e-214
"196","1",0,1,0.25,-393.858431564317,-32.1960980490245,3.22498304300063e-226,6.87517503685028e-214
"197","1",0,1,0.25,-393.858431564317,-32.1560780390195,1.16886122714012e-225,2.68341477577651e-213
"198","1",0,1,0.25,-393.858431564317,-32.1160580290145,4.22963511852643e-225,1.04533113144839e-212
"199","1",0,1,0.25,-393.858431564317,-32.0760380190095,1.52808420771971e-224,4.06426478156811e-212
"200","1",0,1,0.25,-393.858431564317,-32.0360180090045,5.51183368959371e-224,1.57714686317373e-211
"201","1",0,1,0.25,-393.858431564317,-31.9959979989995,1.98494901461649e-223,6.10835562785424e-211
"202","1",0,1,0.25,-393.858431564317,-31.9559779889945,7.13685774622109e-223,2.36123127513561e-210
"203","1",0,1,0.25,-393.858431564317,-31.9159579789895,2.56194120197353e-222,9.1099244988869e-210
"204","1",0,1,0.25,-393.858431564317,-31.8759379689845,9.18196661773135e-222,3.50794735631996e-209
"205","1",0,1,0.25,-393.858431564317,-31.8359179589795,3.28553951063298e-221,1.34819712703145e-208
"206","1",0,1,0.25,-393.858431564317,-31.7958979489745,1.17376758659833e-220,5.17149095252064e-208
"207","1",0,1,0.25,-393.858431564317,-31.7558779389695,4.18660477039366e-220,1.97988599877208e-207
"208","1",0,1,0.25,-393.858431564317,-31.7158579289645,1.49089222186009e-219,7.56530853413852e-207
"209","1",0,1,0.25,-393.858431564317,-31.6758379189595,5.30072126161213e-219,2.88519486605924e-206
"210","1",0,1,0.25,-393.858431564317,-31.6358179089545,1.8816035308495e-218,1.09821078598145e-205
"211","1",0,1,0.25,-393.858431564317,-31.5957978989495,6.66846236834011e-218,4.17213457158429e-205
"212","1",0,1,0.25,-393.858431564317,-31.5557778889445,2.3595420611062e-217,1.58195076247333e-204
"213","1",0,1,0.25,-393.858431564317,-31.5157578789395,8.33554836379263e-217,5.98672995109271e-204
"214","1",0,1,0.25,-393.858431564317,-31.4757378689345,2.93998463918986e-216,2.26124921220923e-203
"215","1",0,1,0.25,-393.858431564317,-31.4357178589295,1.03528609354704e-215,8.52450645485256e-203
"216","1",0,1,0.25,-393.858431564317,-31.3956978489245,3.6398218932841e-215,3.20739255036887e-202
"217","1",0,1,0.25,-393.858431564317,-31.3556778389195,1.27762769937083e-214,1.20447293788144e-201
"218","1",0,1,0.25,-393.858431564317,-31.3156578289145,4.47747261454175e-214,4.5144415781136e-201
"219","1",0,1,0.25,-393.858431564317,-31.2756378189095,1.56662838513219e-213,1.68878004653519e-200
"220","1",0,1,0.25,-393.858431564317,-31.2356178089045,5.47272313007252e-213,6.30527748384736e-200
"221","1",0,1,0.25,-393.858431564317,-31.1955977988994,1.9087339448693e-212,2.34961866348669e-199
"222","1",0,1,0.25,-393.858431564317,-31.1555777888944,6.64648073369193e-212,8.73881667448919e-199
"223","1",0,1,0.25,-393.858431564317,-31.1155577788894,2.31069453266585e-211,3.24391855472322e-198
"224","1",0,1,0.25,-393.858431564317,-31.0755377688844,8.02043192053968e-211,1.20184738868309e-197
"225","1",0,1,0.25,-393.858431564317,-31.0355177588794,2.77944068408221e-210,4.44417116664641e-197
"226","1",0,1,0.25,-393.858431564317,-30.9954977488744,9.61659878303643e-210,1.64019054101479e-196
"227","1",0,1,0.25,-393.858431564317,-30.9554777388694,3.3219264867448e-209,6.04171037768624e-196
"228","1",0,1,0.25,-393.858431564317,-30.9154577288644,1.14567904881877e-208,2.22119955513685e-195
"229","1",0,1,0.25,-393.858431564317,-30.8754377188594,3.94493960123094e-208,8.15037010368654e-195
"230","1",0,1,0.25,-393.858431564317,-30.8354177088544,1.35619512518654e-207,2.9848957079982e-194
"231","1",0,1,0.25,-393.858431564317,-30.7953976988494,4.65487939369385e-207,1.09104602966187e-193
"232","1",0,1,0.25,-393.858431564317,-30.7553776888444,1.59514115672345e-206,3.98032988183404e-193
"233","1",0,1,0.25,-393.858431564317,-30.7153576788394,5.45750624669622e-206,1.44929617008117e-192
"234","1",0,1,0.25,-393.858431564317,-30.6753376688344,1.86420554679355e-205,5.26692710135757e-192
"235","1",0,1,0.25,-393.858431564317,-30.6353176588294,6.35766709997871e-205,1.91037909595321e-191
"236","1",0,1,0.25,-393.858431564317,-30.5952976488244,2.16474230682671e-204,6.91582341659508e-191
"237","1",0,1,0.25,-393.858431564317,-30.5552776388194,7.35900434893038e-204,2.49879325303627e-190
"238","1",0,1,0.25,-393.858431564317,-30.5152576288144,2.49767742018037e-203,9.01112150012947e-190
"239","1",0,1,0.25,-393.858431564317,-30.4752376188094,8.46365728284265e-203,3.24331745944637e-189
"240","1",0,1,0.25,-393.858431564317,-30.4352176088044,2.86341452895636e-202,1.16509723021255e-188
"241","1",0,1,0.25,-393.858431564317,-30.3951975987994,9.67196714668679e-202,4.17731260702718e-188
"242","1",0,1,0.25,-393.858431564317,-30.3551775887944,3.26174371726222e-201,1.49483714930676e-187
"243","1",0,1,0.25,-393.858431564317,-30.3151575787894,1.09821985160036e-200,5.33891354616915e-187
"244","1",0,1,0.25,-393.858431564317,-30.2751375687844,3.69175760804962e-200,1.90315428225116e-186
"245","1",0,1,0.25,-393.858431564317,-30.2351175587794,1.23902908383257e-199,6.77106851763242e-186
"246","1",0,1,0.25,-393.858431564317,-30.1950975487744,4.15177927203798e-199,2.40437678534039e-185
"247","1",0,1,0.25,-393.858431564317,-30.1550775387694,1.38896545773199e-198,8.52138036313033e-185
"248","1",0,1,0.25,-393.858431564317,-30.1150575287644,4.63930652487321e-198,3.01425149521898e-184
"249","1",0,1,0.25,-393.858431564317,-30.0750375187594,1.54710262773185e-197,1.06417028962925e-183
"250","1",0,1,0.25,-393.858431564317,-30.0350175087544,5.15097702889799e-197,3.74977221800832e-183
"251","1",0,1,0.25,-393.858431564317,-29.9949974987494,1.71223959561588e-196,1.31874479547078e-182
"252","1",0,1,0.25,-393.858431564317,-29.9549774887444,5.68255819644356e-196,4.62891010087067e-182
"253","1",0,1,0.25,-393.858431564317,-29.9149574787394,1.88290184848485e-195,1.62165644274207e-181
"254","1",0,1,0.25,-393.858431564317,-29.8749374687344,6.22896520470362e-195,5.67023524246562e-181
"255","1",0,1,0.25,-393.858431564317,-29.8349174587294,2.05735180253014e-194,1.97881604654405e-180
"256","1",0,1,0.25,-393.858431564317,-29.7948974487244,6.7843094873715e-194,6.89242252686809e-180
"257","1",0,1,0.25,-393.858431564317,-29.7548774387194,2.23360912305729e-193,2.39607544160798e-179
"258","1",0,1,0.25,-393.858431564317,-29.7148574287144,7.34197889296317e-193,8.31363990076971e-179
"259","1",0,1,0.25,-393.858431564317,-29.6748374187094,2.40948108823976e-192,2.87901587482573e-178
"260","1",0,1,0.25,-393.858431564317,-29.6348174087044,7.89474934026572e-192,9.95082389030543e-178
"261","1",0,1,0.25,-393.858431564317,-29.5947973986993,2.58260271223959e-191,3.4327023949709e-177
"262","1",0,1,0.25,-393.858431564317,-29.5547773886943,8.43492632077212e-191,1.1818854876804e-176
"263","1",0,1,0.25,-393.858431564317,-29.5147573786893,2.75048586489235e-190,4.06140952424378e-176
"264","1",0,1,0.25,-393.858431564317,-29.4747373686843,8.95451307340663e-190,1.39296531849499e-175
"265","1",0,1,0.25,-393.858431564317,-29.4347173586793,2.9105761462855e-189,4.76832626963839e-175
"266","1",0,1,0.25,-393.858431564317,-29.3946973486743,9.44540077529913e-189,1.62912259074645e-174
"267","1",0,1,0.25,-393.858431564317,-29.3546773386693,3.06031582365266e-188,5.55525132139903e-174
"268","1",0,1,0.25,-393.858431564317,-29.3146573286643,9.89957474501747e-188,1.89067029969836e-173
"269","1",0,1,0.25,-393.858431564317,-29.2746373186593,3.19721074386135e-187,6.42229188463499e-173
"270","1",0,1,0.25,-393.858431564317,-29.2346173086543,1.03093295307196e-186,2.17734088027651e-172
"271","1",0,1,0.25,-393.858431564317,-29.1945972986493,3.31889882447797e-186,7.3675817684426e-172
"272","1",0,1,0.25,-393.858431564317,-29.1545772886443,1.06674849357953e-185,2.48820211712635e-171
"273","1",0,1,0.25,-393.858431564317,-29.1145572786393,3.42321752336622e-185,8.38703587772179e-171
"274","1",0,1,0.25,-393.858431564317,-29.0745372686343,1.0967594584486e-184,2.82158737288244e-170
"275","1",0,1,0.25,-393.858431564317,-29.0345172586293,3.50826760875385e-184,9.47415889257392e-170
"276","1",0,1,0.25,-393.858431564317,-28.9944972486243,1.12041385950144e-183,3.17504573618409e-169
"277","1",0,1,0.25,-393.858431564317,-28.9544772386193,3.57247060924165e-183,1.06199254909496e-168
"278","1",0,1,0.25,-393.858431564317,-28.9144572286143,1.13726923283492e-182,3.54531736944058e-168
